place,type,month,quantity,amount yen,average price
Hokkaido,,,"41,273,009","6,626,994,018",161
Hokkaido,vegetable,,"41,100,952","6,536,873,522",159
Hokkaido,vegetable,1,"2,423,668","325,532,823",134
Hokkaido,vegetable,2,"2,515,881","343,545,981",137
Hokkaido,vegetable,3,"2,718,578","371,730,452",137
Hokkaido,vegetable,4,"1,381,045","229,989,956",167
Hokkaido,vegetable,5,"454,193","115,911,223",255
Hokkaido,vegetable,6,"1,318,445","342,838,366",260
Hokkaido,vegetable,7,"3,419,201","678,974,369",199
Hokkaido,vegetable,8,"5,844,678","1,057,407,675",181
Hokkaido,vegetable,9,"7,442,382","1,293,009,040",174
Hokkaido,vegetable,10,"6,288,610","839,956,589",134
Hokkaido,vegetable,11,"4,481,113","568,219,682",127
Hokkaido,vegetable,12,"2,813,158","369,757,366",131
Hokkaido,fruit,,"172,057","90,120,496",524
Hokkaido,fruit,1,40,"58,611","1,465"
Hokkaido,fruit,2,48,"51,954","1,082"
Hokkaido,fruit,3,51,"59,967","1,176"
Hokkaido,fruit,4,122,"175,360","1,437"
Hokkaido,fruit,5,220,"248,980","1,132"
Hokkaido,fruit,6,"2,407","2,255,692",937
Hokkaido,fruit,7,"29,229","35,971,040","1,231"
Hokkaido,fruit,8,"36,946","16,132,545",437
Hokkaido,fruit,9,"39,691","14,988,767",378
Hokkaido,fruit,10,"37,245","13,423,692",360
Hokkaido,fruit,11,"25,991","6,678,396",257
Hokkaido,fruit,12,67,"75,492","1,127"
,,,,,
Aomori,,,"11,741,058","2,651,546,098",226
Aomori,vegetable,,"6,205,780","1,004,786,824",162
Aomori,vegetable,1,"98,349","52,671,040",536
Aomori,vegetable,2,"99,168","51,463,019",519
Aomori,vegetable,3,"130,426","61,576,120",472
Aomori,vegetable,4,"145,426","63,792,620",439
Aomori,vegetable,5,"182,355","61,834,491",339
Aomori,vegetable,6,"1,185,232","134,352,296",113
Aomori,vegetable,7,"746,666","83,008,016",111
Aomori,vegetable,8,"654,827","100,366,492",153
Aomori,vegetable,9,"819,072","111,208,984",136
Aomori,vegetable,10,"475,763","69,789,294",147
Aomori,vegetable,11,"1,083,413","117,666,322",109
Aomori,vegetable,12,"585,083","97,058,130",166
Aomori,fruit,,"5,535,278","1,646,759,274",298
Aomori,fruit,1,"594,301","186,920,671",315
Aomori,fruit,2,"679,914","190,233,020",280
Aomori,fruit,3,"694,254","176,374,026",254
Aomori,fruit,4,"661,782","174,381,286",264
Aomori,fruit,5,"499,590","154,076,257",308
Aomori,fruit,6,"377,755","124,249,654",329
Aomori,fruit,7,"273,560","95,355,732",349
Aomori,fruit,8,"146,413","53,866,269",368
Aomori,fruit,9,"395,368","100,186,219",253
Aomori,fruit,10,"397,370","113,077,087",285
Aomori,fruit,11,"377,246","126,416,715",335
Aomori,fruit,12,"437,725","151,622,338",346
,,,,,
Iwate,,,"1,836,886","207,941,548",113
Iwate,vegetable,,"1,474,112","108,382,288",74
Iwate,vegetable,1,96,"182,650","1,903"
Iwate,vegetable,2,100,"98,496",985
Iwate,vegetable,3,104,"148,932","1,432"
Iwate,vegetable,4,50,"165,899","3,318"
Iwate,vegetable,5,16,"16,848","1,053"
Iwate,vegetable,6,970,"2,221,560","2,290"
Iwate,vegetable,7,290,"312,390","1,077"
Iwate,vegetable,8,"271,752","21,229,165",78
Iwate,vegetable,9,"443,754","35,699,522",80
Iwate,vegetable,10,"528,743","31,592,364",60
Iwate,vegetable,11,"227,906","16,332,736",72
Iwate,vegetable,12,331,"381,726","1,153"
Iwate,fruit,,"362,774","99,559,260",274
Iwate,fruit,1,"10,460","2,873,664",275
Iwate,fruit,2,19,"19,170","1,009"
Iwate,fruit,3,-19,"-19,170","1,009"
Iwate,fruit,9,"46,200","10,615,050",230
Iwate,fruit,10,"98,330","24,502,014",249
Iwate,fruit,11,"94,556","28,746,954",304
Iwate,fruit,12,"113,228","32,821,578",290
,,,,,
Miyagi,,,"11,300","6,702,168",593
Miyagi,vegetable,,"11,290","6,695,040",593
Miyagi,vegetable,1,14,"44,334","3,167"
Miyagi,vegetable,2,1,"1,080","1,080"
Miyagi,vegetable,3,8,"2,160",270
Miyagi,vegetable,4,865,"464,238",537
Miyagi,vegetable,5,164,"224,208","1,367"
Miyagi,vegetable,6,"3,297","1,833,149",556
Miyagi,vegetable,7,"3,033","1,502,475",495
Miyagi,vegetable,8,284,"665,626","2,344"
Miyagi,vegetable,9,"2,429","769,500",317
Miyagi,vegetable,10,601,"527,850",878
Miyagi,vegetable,11,468,"545,994","1,167"
Miyagi,vegetable,12,126,"114,426",908
Miyagi,fruit,,10,"7,128",713
Miyagi,fruit,8,10,"7,128",713
,,,,,
Akita,,,"243,076","87,511,190",360
Akita,vegetable,,"16,038","44,537,095","2,777"
Akita,vegetable,1,"1,282","3,554,641","2,773"
Akita,vegetable,2,811,"2,956,662","3,646"
Akita,vegetable,3,"1,671","8,089,026","4,841"
Akita,vegetable,4,"1,353","5,571,051","4,118"
Akita,vegetable,5,"2,444","6,311,715","2,583"
Akita,vegetable,6,"1,464","3,769,848","2,575"
Akita,vegetable,7,667,"2,422,332","3,632"
Akita,vegetable,8,"1,470","1,851,228","1,259"
Akita,vegetable,9,"1,387","3,527,426","2,543"
Akita,vegetable,10,"1,372","2,684,773","1,957"
Akita,vegetable,11,"1,295","2,672,655","2,064"
Akita,vegetable,12,822,"1,125,738","1,370"
Akita,fruit,,"227,038","42,974,095",189
